video_id,date,likes,comments,saves,caption,text_in_video,content_type,subtype,discussion_in_comments,notes
7346056999215369518,2024-03-14,15K,32.0,4497.0,"live, laugh, love dark romance
book: clubs by kyra irene
#BookTok
#fyp>
#bookrecommendations
#blowthisup
#viral
#bookish

#bookrecs
#fyp
#enemiestolovers
#booktok","when it's REALLY enemies to lovers >>> ""Am I though? If that was your notebook, you iti correlati wouldn't hun someone the same hurt."" someone the same way you were
Something inside him flips. A look crosses his face, and I can't tell what it is. Guilt? Anger? Dread?
""Stop while you're ahead. Watch your fucking mouth.""
""Or what? Hurt me. Do it!"" I scream at him.
His anger wears off on me. It's toxic. I want to challenge him. I want to see if he's capable of fol-lowing through on his word. I know if he were to hurt me, I'd never forgive him. It's hard enough to look at him now.
He brushes my hair out of my face with a calm look. ""Yell at me again. Sloane,"" he says with a calm voice. My eyes search His anger is gone. Does yelling at him make h off?
My face relaxes at. couch, and I fucking hate it. He's torturing me, and I'm welcoming it. What the fuck?
""You're sick,"" I tell him.
""What else am I?"" His fingers trail down my thigh as he tugs at the bottom of my shorts.
""You're a psychopath.""
""Hmm. That's quite the diagnosis, Sloane.""
The blade is only an inch away from my skin. I feel the pain before he inflicts it on me.
""Mikhail!"" A man's angry voice floods the room.
I take my eyes off him and look at the steps.
Max.",int,"text
normative eval",,
7478834919595085078,2025-03-06,122.7K,301.0,27.7K,"she looks his way & he can die happy || : PURE HATE by ineslepeuch, only on wattpad (link in my bio!!)
#booktok
#bookish
#bookishthoughts
#romancebooks
#romancebooktok
#enemiestolovers
#enemiestoloverstrope
#jealousytrope
#sportsromance
#footballromance
#foryoupage
#foryou
#fyp","when she's been hating her brother's best friend since they were children... HIS POV:
""i swear, she could stab me with a pencil, and i'd apologize for getting in the way.""",int,text,,
7577171946580823309,2025-11-26,12.2K,121.0,6367.0,"TRUE enemies to lovers romance book recommendations that will have you reading all night long!!
#bookrecs
#booktok
#fyp
#fantasyromance
#romancebooks","TRUE
enemies-to-lovers
book recommendations",rec,normative eval,yes,
7216006532176088362,2023-03-29,96K,190.0,28.2K,"O m g. The scream i scrumpt. #booktok #bookish
#romancebooks #ljshen #vicious #fyp #fypシ #fypage #bookrecs #enemiestolovers #enemiestoloverstrope #enemiestoloversrecs #romance #books #viral #smut #viralvideo #bookboyfriend #fictionalmen","When they're enemies but he gets jealous after seeing her with someone else at the party, so he goes to her room that night and says,
""Ask me what I want.""",int,text,,
7547466452995935502,2025-09-07,250.1K,1121.0,25.3K,"enemies to lovers book hit DIFFERENT...when they're actually enemies to lovers
#booktok #booktokfyp
#enemiestolovers
#enemiestoloversbooks
#slowburnbooks","what they like:
enemies
lovers
what I like:
enemies 
yearning for each other
lovers",int,"normative eval
structure",,
7401851876683107585,2024-08-11,11.1K,46.0,4857.0,#books #booktok #bookworm #bookrecs #enemiestolovers #enemiestoloverstrope #fypシ,enemies to lovers books that will have you OBSESSED,rec,,,
7411227416741367082,2024-09-05,494.5K,1532.0,142.9K,MY FAV ENEMIES TO LOVERS BOOKS 🙆🏼‍♀️🫶🏻 #books #tbr #booktok #ememiestolovers,Enemies to lovers >>,rec,,yes,
7403417739672489259,2024-08-15,77.4K,665.0,43.7K,TRUE enemies to lovers book recs! Like I need to feel their hatred!! #enemiestolovers #enemiestoloversrecs #fantasyromancebooks #booktok #enemiestoloversbooks,TRUE ENEMIES TO LOVERS BOOKS pt.2,rec,normative eval,yes,
7365950168107191594,2024-05-06,284.6K,1835.0,148K,"Enemies to lovers fantasy romance books are like my all time favorite but i need them to be TRUE enemies, i need to feel the hatred. #bookrecs #enemiestoloverstrope #booktok #enemiestoloversrecs",TRUE ENEMIES TO LOVERS FANTASY ROMANCE BOOKS,rec,normative eval,,
7426863466381643026,2024-10-17,185.4K,1328.0,112.3K,#book #booktok #books #booktokfyp #bookworm #bookish #booktoker #bookclub #bookrecommendations #bookrecs #romance #romancebooks #fyp #foryou #fypシ #foryoupage #kindleunlimited #reading #viral,Enemies to Lovers Book Recs,rec,,,
7596802596438953223,1-18,9790.0,114.0,6244.0,#booktok #enemiestolovers #bookrecommendations #bookrecs #enemiestoloverstrope,Enemies to lovers book recs,rec,normative eval,,
7595763439478312223,1-16,274.0,102.0,87.0,"And I mean ENEMIES to LOVERS my friends 😉
#enemiestolovers #tbrlist #bookrecs #romantasybooks #booktokfyp",Enemies to lovers book recs,rec,,,
7559931414070758676,2025-10-11,25K,197.0,11.8K,"I need PURE HATRED to Love 🤭 #bookrecs #enemiestolovers #zodiacacademy #romantasy #darkromance 
📖Heavenly Bodies
📖Insatiable 
📖Zodiac Academy
📖Twisted Hate
📖Empire of Flames & Thorns
📖Beautiful Fiend
📖Leave Me Behind
📖Scarred",True Enemies to Lovers,rec,normative eval,yes,
7573270736282914071,2025-11-16,87.4K,78.0,9363.0,#booktok #enemiestolovers #books #booktokgermany #booklover,The enemies to lovers in HIS pov.,int,,,
7595735901989358878,1-16,823.0,14.0,371.0,HITS EVERY TIME oh how i love an obsessed man #booktok #bookrecs #enemiestolovers #platedprisonerseries #fourthwing,"enemies to lovers book recs
(but he's been obsessed w/her forever)",rec,,,"sulla versione (lo definisce micro-trope): lei pensa siano nemici, lui in realtà è ossessionato da lei"
7473925358308396334,2025-02-21,508.6K,1173.0,163.9K,side note but i LOVE cruel intentions>> #booktok #bookrecs #fantasybooks #enemiestolovers #bookrecommendations #fantasybookrecs #onyxstorm #fourthwing #rebeccayarros #xadenriorson #thecruelprince #judeduarte #cardangreenbriar #jurdan #phantasma #nightshade #acotar #acosf #nestaarcheron #powerlesslaurenroberts #laurenroberts #powerless #kaiazer #paedyngray #igniteme #aaronwarner #shatterme #julietteferrars #warnette #nessian #fantasybooktok #booktoker #bookish #booktokfyp,books with AGGRESSIVE YEARNING.,rec,,yes,
7464313624618700063,2025-01-26,9934.0,417.0,5694.0,The best TRUE Enemies to Lovers book recs! #bookrecs #booktok #bookrecommendations #enemiestolovers #fantasy #enemiestoloverstrope,TRUE Enemies to Lovers book recs,rec,normative eval,,
7428159210665331975,2024-10-21,25.6K,230.0,15.4K,Replying to [CREATOR] Love Journey #book #booktok #books #booktokfyp #bookworm #bookish #booktoker #bookclub #bookrecommendations #bookrecs #romancebooks #read #reading #fyp #foryou #foryoupage #fypシ #kindleunlimitedromance #kindleunlimited #viral #romance,Enemies to Lovers Part 2 [spicy emoji],rec,,,
7589114093408210207,2025-12-29,18.8K,11.0,5877.0,📖 Sweet Venom by Rina Kent #BookTok #darkromancereads #hockeyromance #enemiestoloversrecs #romancebookrecommendations,"When she's starting the develop feelings for her enemy, so she goes on a date with someone else to try & prove a point... but he crashes it
""Then leave me alone! Whether I date or fuck or work or breathe has nothing to do with you.""
I thought he was intense a moment ago, but now his face looks taut, and his hand lands on my shoulder as the strap falls to my arm. ""Did you just say fuck?""
I gulp. His voice sounds so low, it tightens my stomach with that uncomfortable feeling again.
""Answer me. Did you wear makeup and this thing"" He tightens his grip on the strap. to seduce the four-eyed asshole so he'd fuck you?""
""So what if I did? I told you that's none of-""",int,text,,
7583989470555278606,2025-12-15,4444.0,33.0,2044.0,📖loving elise by m.b. smith   #enemiestolovers #kidnappingromance #mafiaromance,"When she betrayed his trust so he sends her to be held in his basement and one of his men come in while she's chained
""No,"" I rasp. ""Joshua wouldn't let you.""
He takes slow steps toward me, tapping the whip against his hand with a vile grin. ""Who do you think sent me?""
With that, he rears his arm back and snaps the whip onto my back. I scream, but the pain is worse than I could've imagined. An agonizing sting ripples through my body, and I'm gasping for air, but it's so much more than that.
Joshua sent him here? To do this?
I don't want to believe it, but why shouldn't I? Joshua has made it abundantly clear that I am a prisoner, and this is what happens to prison-ers.",int,text,,
